Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
18943.28625	21.87466	21.88754	21.83821	21.95965	22.08019	22.11786	22.20891	22.33498	22.50457	22.58197	22.63818	22.76683	22.94577	22.8826
18945.7855	21.90769	21.91323	21.8529	21.97433	22.09487	22.12153	22.21625	22.32764	22.48989	22.57462	22.62717	22.74114	22.93109	22.87159
18948.28575	21.93324	21.92777	21.86744	21.98154	22.09106	22.12873	22.20877	22.32383	22.4824	22.56714	22.61601	22.73365	22.91993	22.85676
18950.786	21.9516	21.94979	21.88212	21.99255	22.10942	22.13974	22.21611	22.31282	22.47873	22.55979	22.60867	22.71897	22.90158	22.85309
18953.28625	21.99931	21.97549	21.89313	21.99989	22.11309	22.13974	22.2051	22.31282	22.47873	22.54512	22.59032	22.71163	22.90158	22.84208
18955.7865	22.00298	21.98283	21.90047	22.00356	22.12043	22.13974	22.19776	22.30181	22.46772	22.5341	22.58298	22.70796	22.87956	22.83841
18958.28675	22.04335	22.01219	21.9335	22.02558	22.13878	22.16177	22.21611	22.30915	22.46405	22.52676	22.58298	22.69695	22.87222	22.83107
18960.787	22.08357	22.03772	21.94435	22.0401	22.15697	22.16528	22.20861	22.30532	22.4639	22.52661	22.56448	22.68579	22.86473	22.81257
18963.28625	22.12027	22.07442	21.97004	22.06946	22.16064	22.17996	22.21595	22.30165	22.46023	22.52294	22.55347	22.67111	22.84638	22.8089
18965.7865	22.16417	22.10732	21.9956	22.08401	22.19354	22.20551	22.23416	22.31253	22.4454	22.50812	22.54231	22.65995	22.83522	22.79774
18968.28675	22.21923	22.14769	22.02129	22.10236	22.21556	22.21285	22.2415	22.30886	22.44907	22.50445	22.54231	22.65628	22.83155	22.77939
18970.787	22.27069	22.18447	22.0544	22.12446	22.22664	22.22394	22.24158	22.30893	22.44181	22.50085	22.5277	22.64535	22.82429	22.7758
18973.28725	22.30731	22.22109	22.08001	22.15007	22.25226	22.25322	22.25251	22.30885	22.45275	22.4861	22.51662	22.63426	22.80953	22.76105
18975.7875	22.34768	22.25046	22.10938	22.16475	22.27061	22.26424	22.27087	22.31253	22.44907	22.48976	22.51295	22.63426	22.79485	22.75003
18978.28775	22.38431	22.28341	22.13866	22.19037	22.28521	22.27517	22.27079	22.31979	22.449	22.48969	22.51655	22.63419	22.79478	22.74262
18980.787	22.41734	22.31277	22.14233	22.20505	22.3109	22.29352	22.27446	22.31979	22.44533	22.47868	22.50186	22.6085	22.77643	22.73528
18983.28725	22.47593	22.35301	22.17889	22.23427	22.33646	22.31907	22.29634	22.33066	22.4672	22.48588	22.50539	22.60467	22.77628	22.72412
18985.7875	22.50896	22.39338	22.21193	22.25262	22.35114	22.33742	22.30735	22.33066	22.46353	22.47854	22.49438	22.60467	22.7616	22.71311
18988.28775	22.54199	22.43375	22.24863	22.28932	22.38784	22.36678	22.32203	22.34901	22.45986	22.47486	22.49071	22.59734	22.75059	22.7021
18990.788	22.5969	22.47032	22.27418	22.3112	22.40605	22.385	22.32923	22.35621	22.47074	22.47473	22.47956	22.58619	22.73944	22.68362
18993.28825	22.62627	22.49968	22.30354	22.34057	22.43541	22.39968	22.34391	22.35988	22.48543	22.48575	22.47956	22.58987	22.73577	22.68729
18995.7885	22.68499	22.53638	22.34392	22.36626	22.45376	22.42904	22.35859	22.36355	22.47808	22.48207	22.47589	22.57518	22.72843	22.68729
18998.28775	22.74004	22.58409	22.36961	22.39562	22.49047	22.46207	22.38796	22.38557	22.48909	22.48207	22.47589	22.57518	22.72109	22.66527
