Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
79192.28472	22.89134	22.82348	22.66037	22.70841	22.75187	22.70513	22.61633	22.60294	22.72114	22.70311	22.67858	22.74851	22.82835	22.72848
79194.78397	22.91007	22.83119	22.67176	22.70878	22.75224	22.71651	22.62037	22.60331	22.71048	22.69612	22.66792	22.74152	22.82136	22.71415
79197.28422	22.92524	22.8537	22.6906	22.73864	22.76742	22.73169	22.64289	22.61114	22.72568	22.69297	22.66844	22.73836	22.82188	22.70366
79199.78447	22.94779	22.87626	22.70949	22.75385	22.78263	22.74322	22.64709	22.61902	22.7262	22.7045	22.66529	22.73889	22.81873	22.70418
79202.28472	22.97392	22.88403	22.72093	22.75428	22.79775	22.751	22.65853	22.62312	22.73031	22.70494	22.6694	22.73565	22.81183	22.70095
79204.78497	22.98177	22.90289	22.73245	22.7658	22.80559	22.76252	22.66271	22.62363	22.73083	22.69812	22.66992	22.73618	22.80501	22.69413
79207.28522	23.01526	22.9217	22.7586	22.78461	22.82807	22.77398	22.67418	22.63509	22.74228	22.70223	22.67036	22.73295	22.80912	22.67989
79209.78547	23.04872	22.94782	22.77004	22.80339	22.83952	22.7891	22.68195	22.6392	22.75372	22.71367	22.67813	22.73704	22.80588	22.69133
79212.28472	23.06752	22.96662	22.79251	22.81852	22.8473	22.79689	22.67873	22.63964	22.7505	22.71412	22.67123	22.72648	22.79898	22.68076
79214.78497	23.08997	22.98908	22.81129	22.82997	22.86242	22.81567	22.70486	22.65476	22.76195	22.71089	22.67535	22.73059	22.79576	22.67754
79217.28522	23.10525	23.00802	22.82657	22.84891	22.88136	22.82361	22.70545	22.65902	22.76988	22.71515	22.67227	22.72752	22.79268	22.67813
79219.78547	23.13145	23.02688	22.8491	22.8641	22.90756	22.84614	22.71697	22.66687	22.76306	22.71934	22.67279	22.73538	22.78586	22.66397
79222.28572	23.16133	23.05309	22.86062	22.89031	22.91909	22.86133	22.73217	22.68207	22.7709	22.73085	22.67328	22.72486	22.78635	22.66079
79224.78597	23.17271	23.06814	22.87568	22.89802	22.92314	22.86171	22.73988	22.6751	22.78228	22.72755	22.67732	22.7289	22.78672	22.65382
79227.28622	23.1915	23.08326	22.89446	22.91314	22.93825	22.88416	22.74765	22.68287	22.79007	22.73166	22.68878	22.72935	22.7835	22.65427
79229.78547	23.20296	23.10206	22.91327	22.92827	22.95338	22.8993	22.76646	22.69801	22.79418	22.73945	22.68922	22.73346	22.78394	22.65838
79232.28572	23.22916	23.11358	22.92479	22.94713	22.9649	22.90715	22.77431	22.70586	22.81305	22.75097	22.68607	22.73398	22.78446	22.65156
79234.78597	23.25162	23.13604	22.94357	22.95491	22.98736	22.92226	22.77841	22.70629	22.81349	22.74775	22.67918	22.73075	22.78123	22.64099
79237.28622	23.26675	23.15851	22.96237	22.9737	23.00616	22.94106	22.7862	22.7251	22.82495	22.7482	22.69063	22.7312	22.77434	22.64144
79239.78647	23.29654	23.18096	22.97382	22.99616	23.00659	22.9525	22.80498	22.7292	22.82171	22.75229	22.69106	22.72795	22.77477	22.63819
79242.28672	23.3301	23.19617	22.98903	23.00403	23.02547	22.96405	22.81286	22.73707	22.82957	22.76382	22.70626	22.73948	22.77162	22.63137
