Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
178.21868	29.70579	29.13807	28.29025	27.66006	27.36844	26.43465	25.52056	24.54428	23.86538	22.97351	22.08164	21.71617	20.93286
180.7196	29.79379	29.22239	28.37089	27.7297	27.44542	26.50062	25.59387	24.61392	23.9277	23.04317	22.14763	21.78216	20.98784
183.21951	29.812	29.26262	28.40746	27.77727	27.48932	26.56287	25.64879	24.67618	24.00829	23.11642	22.20988	21.8444	21.03173
185.71945	29.82301	29.29933	28.46618	27.84333	27.54804	26.62527	25.71486	24.74959	24.06701	23.18249	22.27961	21.89579	21.07944
188.21937	29.86321	29.33219	28.50638	27.89822	27.59926	26.68749	25.77341	24.81915	24.1366	23.24473	22.33818	21.95803	21.13068
190.7203	29.88515	29.36881	28.55035	27.94585	27.65423	26.7498	25.83939	24.88146	24.20626	23.31072	22.4005	22.02035	21.18932
193.22024	29.91446	29.39444	28.57965	27.99351	27.70556	26.8048	25.90173	24.9438	24.26491	23.38038	22.46282	22.07533	21.24063
195.72017	29.95466	29.44932	28.6382	28.04472	27.74576	26.86335	25.96395	25.00602	24.32711	23.43891	22.53236	22.13386	21.28816
198.22009	29.18024	29.13002	28.54278	28.0227	27.75677	26.89639	26.01166	25.06475	24.39688	23.49401	22.58379	22.18528	21.33958
200.72002	28.36906	28.55373	28.24543	27.86482	27.6466	26.89633	26.06299	25.13075	24.45186	23.55632	22.63876	22.2476	21.38354
203.22094	27.69733	27.99945	27.86365	27.60048	27.42998	26.82284	26.06658	25.17472	24.5068	23.62594	22.70105	22.29887	21.43114
205.72088	27.13568	27.49653	27.48185	27.29943	27.18031	26.68328	26.01143	25.19297	24.56545	23.68092	22.76336	22.35385	21.48612
208.2208	26.65496	27.04884	27.11857	27.0169	26.92347	26.53655	25.94178	25.20039	24.59859	23.73609	22.8222	22.42003	21.54863
210.72072	26.22172	26.64496	26.77708	26.73046	26.65906	26.35655	25.84619	25.18922	24.6241	23.78361	22.8734	22.46388	21.59248
213.22165	25.83283	26.27075	26.45793	26.46269	26.40964	26.18421	25.73624	25.15268	24.62429	23.81316	22.9213	22.51178	21.63671
215.72159	25.50602	25.9366	26.16783	26.21296	26.15991	26.01155	25.61864	25.10848	24.60942	23.83867	22.96515	22.56298	21.68057
218.22151	25.20147	25.63205	25.8853	25.97447	25.91775	25.82812	25.50127	25.04249	24.59118	23.8608	23.00931	22.6108	21.73207
220.72143	24.92248	25.34571	25.62098	25.73952	25.69748	25.67024	25.36541	24.96903	24.56174	23.86807	23.04226	22.6511	21.77603
223.22236	24.68758	25.09981	25.38609	25.52665	25.4846	25.50141	25.2443	24.8993	24.52137	23.86807	23.06428	22.68046	21.82007
225.72229	24.47461	24.87949	25.16944	25.33203	25.28998	25.33982	25.11207	24.81845	24.47358	23.85698	23.0899	22.70975	21.86404
228.22223	24.2911	24.67396	24.96758	25.14485	25.09913	25.18934	24.99462	24.73037	24.42219	23.83863	23.10825	22.73177	21.90441
230.72215	24.09667	24.46853	24.77316	24.97244	24.92673	25.04263	24.86626	24.64972	24.36722	23.83136	23.12301	22.75019	21.94853
233.22307	24.26548	24.45383	24.65569	24.83295	24.79091	24.90681	24.7598	24.57263	24.30482	23.79466	23.12301	22.77222	21.97789
235.72301	24.04886	24.34364	24.55651	24.73011	24.67705	24.78561	24.63861	24.47712	24.23501	23.76889	23.1266	22.78682	21.99617
238.22292	24.1518	24.29243	24.45392	24.62752	24.55978	24.68669	24.5507	24.40022	24.17277	23.73234	23.13042	22.79064	22.03669
240.72286	23.90957	24.18967	24.37685	24.54677	24.4717	24.5876	24.44793	24.31948	24.11405	23.71032	23.13042	22.80532	22.06606
243.22278	24.00867	24.12727	24.27408	24.44768	24.3726	24.50685	24.37086	24.25341	24.04431	23.66261	23.11941	22.79431	22.08808
245.72372	23.78133	24.01738	24.20089	24.37449	24.29207	24.41531	24.28666	24.18022	23.98948	23.6298	23.10862	22.80922	22.10665
248.22365	23.60515	23.8302	24.05041	24.24603	24.19297	24.3309	24.21692	24.10682	23.92342	23.58943	23.09761	22.79821	22.125
250.72359	23.64927	23.83395	23.99544	24.16903	24.1123	24.25023	24.14359	24.05184	23.87945	23.56014	23.09769	22.80195	22.15444
253.22351	23.46576	23.67613	23.88533	24.08094	24.01321	24.15847	24.07019	23.98578	23.8244	23.53812	23.07934	22.79461	22.16912
255.72444	23.5319	23.68721	23.82668	24.01129	23.94722	24.09248	24.0042	23.92346	23.77309	23.49048	23.06473	22.78735	22.17654
258.22436	23.56127	23.63216	23.76429	23.93421	23.87381	24.01541	23.93447	23.86474	23.70702	23.45011	23.04271	22.769	22.18388
260.72429	23.38142	23.57344	23.72025	23.89384	23.8261	23.95669	23.88309	23.81335	23.65564	23.42075	23.03904	22.769	22.2059
263.22422	23.37791	23.46716	23.61764	23.80958	23.74552	23.89445	23.81718	23.75846	23.61542	23.3952	23.01717	22.75813	22.21706
265.72516	23.25312	23.42311	23.57726	23.74719	23.68312	23.82104	23.75478	23.69973	23.57504	23.35116	22.99882	22.75079	22.21706
268.22507	23.34129	23.43053	23.52963	23.69221	23.63549	23.7624	23.70715	23.6521	23.52008	23.32189	22.98056	22.74355	22.21715
270.725	23.41836	23.47091	23.53697	23.67386	23.59878	23.71836	23.64476	23.60439	23.47971	23.28519	22.96221	22.72886	22.22816
273.22494	23.13575	23.32777	23.47458	23.62982	23.56208	23.67798	23.61539	23.56034	23.44301	23.25583	22.94753	22.72152	22.2355
275.72487	23.19456	23.28747	23.40125	23.55282	23.50711	23.63035	23.56409	23.52005	23.39906	23.22656	22.92927	22.71795	22.24293
278.2258	23.16152	23.2104	23.33519	23.4941	23.44104	23.56428	23.50904	23.465	23.35869	23.1972	22.91826	22.6996	22.24661
280.72572	23.04048	23.19212	23.30957	23.46114	23.40809	23.52032	23.47241	23.42837	23.32573	23.16791	22.89998	22.68499	22.25035
283.22564	23.13601	23.18855	23.27296	23.4172	23.36414	23.48738	23.4358	23.40277	23.29277	23.13495	22.87803	22.66671	22.25776
285.72558	22.90119	23.07118	23.21799	23.37323	23.32385	23.43975	23.40285	23.35514	23.24512	23.10197	22.85607	22.65576	22.24314
288.22649	23.16912	23.0932	23.16661	23.30717	23.26512	23.39204	23.35514	23.31844	23.21575	23.08362	22.84506	22.64475	22.25415
290.72643	23.10686	23.17408	23.21446	23.31832	23.2726	23.35914	23.30756	23.27453	23.18289	23.05443	22.82688	22.63391	22.25065
293.22635	23.25367	23.16674	23.19977	23.30363	23.25425	23.33712	23.28554	23.24884	23.15353	23.03608	22.80486	22.63391	22.25799
295.72628	23.16566	23.2182	23.23289	23.32207	23.26901	23.31884	23.25626	23.21956	23.12789	23.00677	22.79023	22.61194	22.25438
298.22722	22.93459	23.04219	23.14863	23.27451	23.22879	23.30065	23.24173	23.19769	23.08767	22.9849	22.7757	22.60475	22.26187
300.72713	23.2172	23.15597	23.15597	23.24882	23.19576	23.26762	23.22338	23.16833	23.06565	22.95187	22.75735	22.5864	22.25819
303.22707	23.00817	23.07173	23.12678	23.23798	23.19593	23.24944	23.19419	23.13914	23.03647	22.92636	22.72817	22.56089	22.2437
305.727	22.97147	23.04603	23.11577	23.20862	23.1629	23.21641	23.1685	23.11712	23.01078	22.90801	22.71716	22.55722	22.2437
308.22692	23.05596	23.00941	23.06446	23.16832	23.12995	23.19814	23.14656	23.10252	22.99617	22.90075	22.70622	22.54995	22.2401
310.72786	23.07437	23.09388	23.09755	23.16838	23.13	23.17617	23.11358	23.06587	22.98157	22.8788	22.69162	22.54269	22.24018
313.22779	23.05243	23.03524	23.07194	23.15378	23.11173	23.1579	23.10632	23.0476	22.94496	22.85687	22.67703	22.52443	22.2366
315.7277	22.85798	22.94356	23.02063	23.11348	23.08612	23.13595	23.08071	23.02933	22.93769	22.84594	22.6661	22.52084	22.24402
318.22763	22.86532	22.93622	22.9876	23.07678	23.05309	23.11026	23.06602	23.0073	22.90833	22.82392	22.65509	22.50249	22.23301
320.72857	22.88742	22.86656	22.94364	23.03648	23.0238	23.08832	23.03674	22.99637	22.90472	22.81296	22.6478	22.50621	22.24041
323.2285	22.97927	22.9841	22.98043	23.03658	23.00922	23.05905	23.01481	22.9671	22.89011	22.79836	22.62953	22.49895	22.24415
325.72841	22.67839	22.81902	22.92179	23.01831	22.99094	23.04078	22.98553	22.9525	22.87184	22.78008	22.61492	22.48434	22.23689
328.22835	22.98302	22.87774	22.88875	22.96325	22.94323	23.00408	22.96351	22.93048	22.84248	22.7654	22.60391	22.47333	22.22955
330.72928	22.79598	22.86687	22.91091	22.9744	22.9507	22.98953	22.95263	22.91226	22.8353	22.75456	22.60041	22.46983	22.24073
333.22921	22.82534	22.85953	22.88522	22.94871	22.93235	22.97118	22.93428	22.89024	22.81328	22.74355	22.58573	22.46249	22.22604
335.72912	22.75578	22.76795	22.84502	22.91585	22.90317	22.94934	22.91244	22.87574	22.79506	22.72899	22.57118	22.44427	22.2225
338.22906	22.93937	22.89649	22.87079	22.93061	22.89957	22.92739	22.89783	22.86113	22.77678	22.71072	22.56024	22.44067	22.22258
340.72898	22.81458	22.8084	22.84877	22.92327	22.89591	22.93106	22.88682	22.84278	22.76577	22.69237	22.54556	22.42966	22.21891
343.22992	23.00184	22.92593	22.88922	22.93069	22.89598	22.91279	22.87222	22.82451	22.74752	22.68145	22.5273	22.42242	22.219
345.72984	22.86604	22.83417	22.85986	22.91234	22.89231	22.90178	22.8502	22.80616	22.74017	22.67044	22.5273	22.42242	22.22634
348.22977	23.5598	23.15723	22.97005	22.95646	22.91074	22.89452	22.8356	22.78422	22.71825	22.65218	22.51638	22.4115	22.21176
350.72969	24.23877	23.64902	23.24529	23.12527	23.04285	22.94588	22.85026	22.7842	22.71823	22.64483	22.5127	22.40414	22.21174
353.23063	24.80773	24.12623	23.58671	23.38226	23.25213	23.04872	22.89071	22.78427	22.70731	22.63391	22.49811	22.39322	22.2155
355.73056	25.28869	24.5558	23.92452	23.64668	23.49086	23.18468	22.96794	22.81012	22.70012	22.62305	22.48725	22.3897	22.20831
358.23047	25.71436	24.95578	24.2511	23.91453	23.73668	23.34609	23.05228	22.83574	22.71106	22.6193	22.47983	22.38229	22.20824
360.7304	26.09624	25.31564	24.55223	24.16795	23.96808	23.51143	23.15889	22.88362	22.73323	22.62312	22.47264	22.37877	22.21206
363.23134	26.44858	25.6533	24.84952	24.41752	24.21766	23.68393	23.29102	22.95336	22.75892	22.63046	22.47264	22.37143	22.19738
365.73125	26.79371	25.97641	25.1396	24.66723	24.45636	23.87124	23.41961	23.0269	22.79577	22.64162	22.46178	22.37158	22.19386
368.23119	27.08367	26.27003	25.40019	24.90213	24.68024	24.04741	23.55541	23.11131	22.85817	22.67465	22.48014	22.38626	22.20854
370.73111	27.36627	26.54897	25.65343	25.12968	24.90046	24.22359	23.70222	23.20307	22.9279	22.71503	22.50216	22.3936	22.21588
373.23205	27.65263	26.82432	25.91043	25.35365	25.12075	24.39617	23.83442	23.29857	22.99404	22.74079	22.5059	22.39367	22.20494
375.73198	27.91697	27.08866	26.14907	25.57027	25.33003	24.57242	23.97764	23.40142	23.06752	22.78858	22.528	22.4121	22.2197
378.23189	28.15928	27.33097	26.38405	25.78689	25.53931	24.73765	24.12453	23.49692	23.141	22.82536	22.54275	22.41584	22.21243
380.73182	28.36866	27.56237	26.60076	25.98526	25.74135	24.914	24.27151	23.61454	23.22191	22.88058	22.5576	22.43069	22.2126
383.23176	28.58887	27.77524	26.81731	26.18345	25.94321	25.08283	24.41832	23.72098	23.31367	22.93196	22.59797	22.46006	22.21994
385.73269	28.69531	27.94407	26.99715	26.35962	26.11571	25.23698	24.54678	23.83109	23.40176	23.0017	22.63834	22.48208	22.23829
388.23247	28.82391	28.07634	27.14777	26.51024	26.28101	25.39494	24.6974	23.95234	23.501	23.06424	22.66786	22.51526	22.24945
390.73263	28.94503	28.22315	27.29825	26.65338	26.41681	25.52707	24.81485	24.05511	23.58542	23.13031	22.70823	22.54095	22.2678
393.23307	29.04779	28.34427	27.44139	26.80386	26.56729	25.67388	24.94697	24.17623	23.69185	23.20004	22.75227	22.58499	22.28248
395.7329	29.15064	28.46913	27.56625	26.92506	26.69216	25.78773	25.06083	24.2754	23.79104	23.27354	22.80008	22.62179	22.3046
398.23281	29.32688	28.60501	27.70213	27.05359	26.82436	25.91993	25.18569	24.38191	23.89389	23.35436	22.84787	22.66591	22.32303
400.73377	29.38201	28.72987	27.83066	27.18212	26.95657	26.04847	25.29955	24.48476	23.97836	23.42048	22.8883	22.70267	22.34877
403.23385	29.40036	28.7886	27.92609	27.30324	27.07401	26.15858	25.41332	24.59487	24.07745	23.49021	22.94335	22.73937	22.36712
405.73364	29.47386	28.85476	28.00693	27.38408	27.1622	26.26144	25.51619	24.69039	24.16928	23.56737	22.99114	22.78349	22.38555
408.23357	29.55475	28.94665	28.10983	27.47598	27.25776	26.35701	25.60808	24.78595	24.26119	23.63725	23.05735	22.83502	22.42607
410.73348	29.59886	29.01279	28.18698	27.56414	27.34225	26.46352	25.70358	24.87044	24.34935	23.71073	23.11248	22.88281	22.45551
413.23442	29.66868	29.09361	28.27148	27.64863	27.43775	26.54801	25.79175	24.96595	24.42652	23.79524	23.16396	22.93061	22.48496
415.73425	29.73841	29.16335	28.34855	27.74406	27.5185	26.64344	25.87983	25.05036	24.5146	23.85763	23.21167	22.97833	22.518
418.23421	29.79352	29.22947	28.41835	27.81752	27.5993	26.72057	25.96431	25.12383	24.59175	23.93111	23.2668	23.02979	22.55477
420.73511	29.83023	29.28085	28.49542	27.89093	27.67638	26.80499	26.05606	25.21558	24.6725	24.00085	23.32552	23.08117	22.58781
423.23485	29.87068	29.32864	28.54688	27.96441	27.74619	26.88581	26.12588	25.29273	24.74598	24.07433	23.38432	23.12529	22.61724
425.73539	29.92954	29.39484	28.61675	28.04529	27.81973	26.96302	26.21043	25.37729	24.83053	24.14787	23.44318	23.17681	22.66509
428.23538	29.96266	29.43531	28.67924	28.10044	27.88222	27.03285	26.27658	25.45078	24.90034	24.21768	23.50198	23.23193	22.6982
430.73485	30.05442	29.51972	28.74163	28.17751	27.94461	27.10258	26.35366	25.52052	24.97375	24.28007	23.54602	23.28332	22.72756
433.23571	30.09127	29.57493	28.80418	28.23272	28.0145	27.1688	26.41988	25.58307	25.03263	24.3463	23.60491	23.32753	22.76443
435.73513	30.16468	29.62999	28.86658	28.31346	28.08057	27.24221	26.48227	25.65647	25.11338	24.4087	23.6563	23.37524	22.80847
438.23621	30.17218	29.67419	28.92913	28.37602	28.14679	27.30843	26.54482	25.71902	25.18329	24.47126	23.71519	23.43414	22.84535
440.73618	30.21622	29.7219	28.98051	28.43107	28.20184	27.37816	26.6219	25.78876	25.24568	24.53733	23.76658	23.48552	22.88939
443.23564	30.26034	29.76235	29.0283	28.48253	28.26064	27.43696	26.67703	25.85489	25.31182	24.60347	23.83271	23.53698	22.93351
445.73624	30.30071	29.81373	29.07968	28.54125	28.30836	27.49201	26.73208	25.90995	25.37789	24.66586	23.88777	23.58836	22.97021
448.23596	30.35951	29.85785	29.13114	28.59638	28.36716	27.55081	26.80189	25.97976	25.43668	24.72099	23.93556	23.63615	23.00332
450.73665	30.41734	29.92032	29.18628	28.65151	28.42596	27.61329	26.8607	26.0459	25.49915	24.78346	23.99436	23.68394	23.0511
